,problemNum,result
0,10,4345
1,20,3607
2,30,4532
3,40,6266
4,50,3511
5,60,4334
6,70,5387
7,80,5514
8,90,4873
9,100,4901
10,110,4452
11,120,4575
12,130,4630
13,140,3670
14,150,4317
15,160,5083
16,170,4194
17,180,5509
18,190,5390
19,200,3948
20,210,3752
21,220,5379
22,230,4582
23,240,4416
24,250,3842
25,260,5304
26,270,4533
27,280,4603
28,290,4741
29,300,4795
30,310,4345
31,320,4531
32,330,4642
33,340,4208
34,350,4547
35,360,4462
36,370,4112
37,380,4601
38,390,4578
39,400,4693
40,410,4942
41,420,4612
42,430,4637
43,440,4596
44,450,4549
45,460,4827
46,470,4730
47,480,4694
48,490,4078
49,500,4092
50,510,4439
51,520,4867
52,530,5123
53,540,5046
54,550,4767
55,560,4694
56,570,4428
57,580,4275
58,590,4646
59,600,4850
60,610,5014
61,620,4598
62,630,4459
63,640,4722
64,650,5111
65,660,4828
66,670,4354
67,680,4700
68,690,4969
69,700,4428
70,710,4493
71,720,4928
72,730,4875
73,740,4668
74,750,4445
75,760,4550
76,770,4374
77,780,4246
78,790,4681
79,800,4770
80,810,4768
81,820,4671
82,830,4562
83,840,4531
84,850,4913
85,860,4751
86,870,4557
87,880,4789
88,890,4604
89,900,4605
90,910,4660
91,920,4781
92,930,4502
93,940,4594
94,950,4504
95,960,4598
96,970,4605
97,980,4790
98,990,4837
99,1000,4558
100,1010,4648
101,1020,4560
102,1030,4612
103,1040,4756
104,1050,4591
105,1060,4997
106,1070,4631
107,1080,4359
108,1090,4638
109,1100,4650
110,1110,4800
111,1120,4639
112,1130,4374
113,1140,4851
114,1150,4359
115,1160,4763
116,1170,4602
117,1180,4323
118,1190,4609
119,1200,4814
120,1210,4384
121,1220,4626
122,1230,4557
123,1240,4609
124,1250,4498
125,1260,4576
126,1270,4937
127,1280,4741
128,1290,4521
129,1300,4399
130,1310,4752
131,1320,4438
132,1330,4671
133,1340,4504
134,1350,4696
135,1360,4452
136,1370,4516
137,1380,4772
138,1390,4755
139,1400,4638
140,1410,4777
141,1420,4701
142,1430,4503
143,1440,4655
144,1450,4429
145,1460,4781
146,1470,4482
147,1480,4718
148,1490,4942
149,1500,4777
150,1510,4735
151,1520,4608
152,1530,4675
153,1540,4494
154,1550,4653
155,1560,4521
156,1570,4712
157,1580,4795
158,1590,4820
159,1600,4838
160,1610,4534
161,1620,4701
162,1630,4643
163,1640,4467
164,1650,4776
165,1660,4748
166,1670,4699
167,1680,4730
168,1690,4568
169,1700,4677
170,1710,4631
171,1720,4534
172,1730,4708
173,1740,4675
174,1750,4708
175,1760,4343
176,1770,4483
177,1780,4722
178,1790,4584
179,1800,4791
180,1810,4448
181,1820,4610
182,1830,4551
183,1840,4689
184,1850,4735
185,1860,4675
186,1870,4730
187,1880,4763
188,1890,4679
189,1900,4702
190,1910,4995
191,1920,4547
192,1930,4657
193,1940,4713
194,1950,4537
195,1960,4602
196,1970,4549
197,1980,4568
198,1990,4724
199,2000,4631
200,2010,4641
201,2020,4568
202,2030,4604
203,2040,4726
204,2050,4825
205,2060,4768
206,2070,4792
207,2080,4780
208,2090,4751
209,2100,4711
210,2110,4862
211,2120,4751
212,2130,4723
213,2140,4714
214,2150,4670
215,2160,4456
216,2170,4686
217,2180,4602
218,2190,4745
219,2200,4496
220,2210,4717
221,2220,4702
222,2230,4842
223,2240,4619
224,2250,4677
225,2260,4624
226,2270,4717
227,2280,4570
228,2290,4777
229,2300,4663
230,2310,4703
231,2320,4784
232,2330,4767
233,2340,4628
234,2350,4674
235,2360,4705
236,2370,4648
237,2380,4642
238,2390,4654
239,2400,4716
240,2410,4614
241,2420,4679
242,2430,4614
243,2440,4686
244,2450,4667
245,2460,4629
246,2470,4676
247,2480,4515
248,2490,4619
249,2500,4826
250,2510,4807
251,2520,4837
252,2530,4878
253,2540,4788
254,2550,4601
255,2560,4806
256,2570,4740
257,2580,4721
258,2590,4692
259,2600,4791
260,2610,4675
261,2620,4750
262,2630,4671
263,2640,4554
264,2650,4546
